,Player_Name,Country,Overs,Maidens,Runs,Wickets,Economy,Inns,Opposition,Ground,Start_Date
6506,Ghulam Abbas Butt,FIN,4.0,0,30,2,7.5,2,Norway,Ishoj,15 Jun 2025
6507,Vikramjit Singh,NED,4.0,0,30,2,7.5,2,Nepal,Glasgow,16 Jun 2025
6508,ROC Dunka,CAY,4.0,0,30,2,7.5,1,Canada,King City (NW),16 Jun 2025
6509,DJ Hawoe,INA,4.0,0,30,2,7.5,1,South Korea,Bali,13 Jul 2025
6510,P Aho,NGA,4.0,0,30,2,7.5,1,Uganda,Entebbe,22 Jul 2025
6511,JM Vujnovich,CRT,4.0,0,30,2,7.5,2,Cyprus,Zagreb,8 Aug 2025
6512,A Beresford-Peirse,CRT,4.0,0,30,2,7.5,1,Cyprus,Zagreb,8 Aug 2025
6513,JR Hazlewood,AUS,4.0,0,30,2,7.5,1,South Africa,Cairns,16 Aug 2025
6514,V Zimonjic,SRB,4.0,0,30,2,7.5,1,Croatia,Szodliget,31 Aug 2025
6515,Amal Jacob,HUN,4.0,0,30,2,7.5,2,Serbia,Szodliget,31 Aug 2025
6516,Rashid Khan,AFG,4.0,0,30,2,7.5,2,Pakistan,Sharjah,2 Sep 2025
6517,CV Varun,IND,4.0,0,30,2,7.5,1,Pakistan,Dubai (DICS),28 Sep 2025
6518,CK Jasmat,Samoa,4.0,0,30,2,7.5,1,Japan,Al Amerat,12 Oct 2025
6519,Taranjeet Singh,ROM,4.0,1,30,2,7.5,1,Austria,Ilfov County,18 Oct 2025
6520,Javid Patel,Zamb,4.0,0,30,2,7.5,1,Nigeria,Abuja,12 Dec 2025
6521,Abdullahi Ismail,NGA,4.0,0,30,2,7.5,2,Zambia,Abuja,12 Dec 2025
6522,Abdollah Ahmadzai,AFG,4.0,0,30,2,7.5,1,West Indies,Dubai (DICS),22 Jan 2026
6523,MR Adair,IRE,3.1,0,30,2,9.47,1,Italy,Dubai,23 Jan 2026
6524,Haider Ali,UAE,4.0,0,30,2,7.5,1,Ireland,Dubai (DICS),31 Jan 2026
6525,M Jansen,SA,4.0,0,30,2,7.5,2,Canada,Ahmedabad,9 Feb 2026
6526,SC van Schalkwyk,USA,4.0,0,30,2,7.5,2,Namibia,Chennai,15 Feb 2026
6527,Muhammad Arfan,UAE,4.0,0,30,2,7.5,2,Afghanistan,Delhi,16 Feb 2026
6528,KA Pollard,WI,4.0,0,31,2,7.75,2,England,Bridgetown,26 Jan 2022
6529,CBRLS Kumara,SL,3.0,0,31,2,10.33,2,India,Dharamsala,26 Feb 2022
6530,Azmatullah Omarzai,AFG,4.0,0,31,2,7.75,1,Bangladesh,Mirpur,3 Mar 2022
6531,N Vanua,PNG,4.0,0,31,2,7.75,1,Malaysia,Kirtipur,29 Mar 2022
6532,Amjad Sher,FIN,4.0,0,31,2,7.75,1,Denmark,Brondby,7 May 2022
6533,SA Mohandas,HUN,4.0,0,31,2,7.75,1,Gibraltar,Marsa,10 May 2022
6534,M Sarenac,SRB,3.0,0,31,2,10.33,2,Bulgaria,Sofia,25 Jun 2022
6535,Shagharai Sefat,BEL,4.0,0,31,2,7.75,1,Gibraltar,Gent,28 Jun 2022
6536,P Malav,LUX,4.0,0,31,2,7.75,1,Czech Rep.,Vinor,10 Jul 2022
6537,AR Puri,SGP,4.0,0,31,2,7.75,1,U.S.A.,Bulawayo,12 Jul 2022
6538,SD Valjalo,CRT,4.0,0,31,2,7.75,1,Serbia,Vantaa,19 Jul 2022
6539,JB Little,IRE,4.0,0,31,2,7.75,1,New Zealand,Belfast,20 Jul 2022
6540,Qamar Mushtaque,NOR,4.0,0,31,2,7.75,1,France,Kerava,27 Jul 2022
6541,GJ Delany,IRE,3.0,0,31,2,10.33,1,South Africa,Bristol,3 Aug 2022
6542,Shadab Khan,PAK,4.0,0,31,2,7.75,1,India,Dubai (DICS),4 Sep 2022
6543,Mustafizur Rahman,BAN,4.0,0,31,2,7.75,2,U.A.E.,Dubai (DICS),25 Sep 2022
