,Player_Name,Country,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
7329,K Nassoro,TAN,26,1,27,3,0,96.29,2,Mozambique,Rwanda,5 Dec 2022
7330,A Turay,SLE,26,1,18,4,0,144.44,2,Ghana,Kigali,5 Dec 2022
7331,GE Ngegba,SLE,26,1,20,4,0,130,2,Ghana,Kigali,5 Dec 2022
7332,MO Kitunda,TAN,26,1,12,2,2,216.66,2,Rwanda,Rwanda,18 Dec 2022
7333,Aslam Khan,MAS,26,1,19,0,3,136.84,1,Singapore,Bangi,22 Dec 2022
7334,SA Yadav,IND,26,1,31,1,0,83.87,2,New Zealand,Lucknow,29 Jan 2023
7335,R Sharma,SGP,26,1,16,1,1,162.5,1,Indonesia,Phnom Penh,11 May 2023
7336,S Thanikaithasan,DEN,26,1,14,4,0,185.71,2,Norway,Brondby,18 May 2023
7337,G Burrows,IOM,26,1,29,1,0,89.65,1,Austria,Castletown,10 Jul 2023
7338,MJ Richardson,GER,26,1,24,4,0,108.33,2,Austria,Edinburgh (Golden),21 Jul 2023
7339,Jaspal Singh,MLT,26,1,22,3,0,118.18,2,Romania,Ilfov County,18 Aug 2023
7340,V Saini,ROM,26,1,24,2,0,108.33,2,Malta,Ilfov County,20 Aug 2023
7341,AP Rajeevan,TAN,26,1,17,3,1,152.94,2,Rwanda,Rwanda,22 Aug 2023
7342,Jassim Khan,QAT,26,1,18,3,0,144.44,2,Oman,Doha,17 Sep 2023
7343,Basil Hameed,UAE,26,1,19,3,0,136.84,1,Qatar,Doha,20 Sep 2023
7344,Janak Prakash,SGP,26,1,21,1,2,123.8,2,Malaysia,Hangzhou,28 Sep 2023
7345,Saad Bin Zafar,CAN,26,1,23,2,1,113.04,2,Bermuda,Sandys Parish,30 Sep 2023
7346,Gulbadin Naib,AFG,26,1,19,1,3,136.84,2,Pakistan,Hangzhou,6 Oct 2023
7347,NR Kirton,CAN,26,1,10,2,2,260,1,Bermuda,Hamilton,7 Oct 2023
7348,GE Ngegba,SLE,26,1,25,0,1,104,2,Ghana,Lagos,14 Oct 2023
7349,Ahmer Bin,BHR,26,1,25,3,0,104,1,Oman,Kirtipur,3 Nov 2023
7350,S Ssesazi,UGA,26,1,21,5,0,123.8,2,Rwanda,Windhoek,30 Nov 2023
7351,GJ Delany,IRE,26,1,11,2,2,236.36,1,Zimbabwe,Harare,7 Dec 2023
7352,RN Patel,KENYA,26,1,19,2,1,136.84,2,Sierra Leone,Benoni,12 Dec 2023
7353,RG Mukasa,UGA,26,1,16,4,0,162.5,2,Botswana,Benoni,18 Dec 2023
7354,KS Williamson,NZ,26,1,15,3,1,173.33,1,Pakistan,Hamilton,14 Jan 2024
7355,MD Shanaka,SL,26,1,18,4,0,144.44,2,Zimbabwe,Colombo (RPS),14 Jan 2024
7356,S Godara,CAM,26,1,14,1,2,185.71,1,Bhutan,Bangkok,5 Feb 2024
7357,A Shirai-Patmore,JPN,26,1,24,3,0,108.33,2,Singapore,Bangkok,6 Feb 2024
7358,Nasrulla Rana,HKG,26,1,7,0,4,371.42,1,Japan,Mong Kok,17 Feb 2024
7359,Aqib Ilyas,OMA,26,1,13,3,1,200,2,Namibia,Al Amerat,4 Apr 2024
7360,Mahmudullah,BAN,26,1,16,2,1,162.5,2,Zimbabwe,Chattogram,5 May 2024
7361,J Coetzee,THA,26,1,24,2,1,108.33,2,Indonesia,Bali,6 May 2024
7362,I Takahashi,JPN,26,1,14,2,1,185.71,1,Mongolia,Sano,12 May 2024
7363,Sajad Ahmadzai,BEL,26,1,23,0,2,113.04,1,Guernsey,Waterloo,9 Jun 2024
7364,E Solomon,ISR,26,1,23,3,0,113.04,2,Romania,Rome,15 Jun 2024
7365,ND Laegsgaard,DEN,26,1,16,0,2,162.5,2,Jersey,Brondby,16 Jun 2024
7366,MWR Stokes,GUE,26,1,14,2,0,185.71,2,Malta,Castel,22 Aug 2024
7367,C Pyle,GIBR,26,1,26,4,0,100,2,Serbia,Gibraltar,30 Sep 2024
7368,S Ravichandran,JPN,26,1,22,1,0,118.18,1,Indonesia,Incheon,5 Oct 2024
7369,AA Navicha,MOZ,26,1,20,0,1,130,1,Seychelles,Nairobi (Gym),22 Oct 2024
7370,Zuhaib Zubair,UAE,26,1,9,2,2,288.88,1,Bhutan,Doha,19 Nov 2024
7371,Gulbadin Naib,AFG,26,1,21,3,0,123.8,1,Zimbabwe,Harare,13 Dec 2024
7372,Mahedi Hasan,BAN,26,1,24,2,1,108.33,1,West Indies,Kingstown,15 Dec 2024
7373,T Musekiwa,ZIM,26,1,17,1,2,152.94,1,Ireland,Harare,25 Feb 2025
7374,Ahmadullah Shinwari,NOR,26,1,25,4,0,104,2,Portugal,Albergaria,9 Apr 2025
7375,S Koppolu,SVN,26,1,20,3,0,130,2,Austria,Latschach,17 May 2025
7376,Hasan Mahmud,BAN,26,1,15,0,3,173.33,1,U.A.E.,Sharjah,21 May 2025
7377,CW Perchard,JER,26,1,23,2,1,113.04,1,Guernsey,St Saviour,7 Jun 2025
7378,MA Leask,SCOT,26,1,17,1,2,152.94,1,Nepal,Glasgow,20 Jun 2025
7379,C Roberts,Fran,26,1,34,2,0,76.47,2,Hungary,Ilfov County,29 Jun 2025
7380,J Wilson,GIBR,26,1,11,3,2,236.36,2,Turkey,Sofia,12 Jul 2025
7381,A Reyes,GIBR,26,1,13,2,2,200,1,Bulgaria,Sofia,13 Jul 2025
7382,DJ Mitchell,NZ,26,1,19,1,1,136.84,2,Zimbabwe,Harare,18 Jul 2025
7383,IO Okpe,NGA,26,1,20,0,1,130,2,Uganda,Entebbe,22 Jul 2025
7384,MG Bracewell,NZ,26,1,16,2,1,162.5,1,Zimbabwe,Harare,24 Jul 2025
7385,KN Gabhane,HUN,26,1,28,2,0,92.85,2,Sweden,Oslo,17 Aug 2025
7386,PHKD Mendis,SL,26,1,13,0,2,200,2,Afghanistan,Abu Dhabi,18 Sep 2025
7387,RP Burl,ZIM,26,1,12,4,0,216.66,2,Namibia,Harare,4 Oct 2025
7388,Baseer Khan,AUT,26,1,11,2,2,236.36,1,Romania,Ilfov County,19 Oct 2025
7389,Manan Bashir,BUL,26,1,14,1,2,185.71,2,Serbia,Episkopi,1 Nov 2025
7390,MW Short,AUS,26,1,15,2,1,173.33,1,India,Hobart,2 Nov 2025
7391,DGAPD Wiswi,INA,26,1,13,4,1,200,2,Timor-Leste,Bali,13 Nov 2025
7392,S Jegannathan,INA,26,1,20,3,1,130,2,Bahrain,Bali,19 Nov 2025
7393,Shahnawaz Patel,Zamb,26,1,22,1,1,118.18,1,Sierra Leone,Abuja,14 Dec 2025
7394,NT Tilak Varma,IND,26,1,34,3,0,76.47,2,South Africa,Dharamsala,14 Dec 2025
7395,IKEG Artawan,INA,26,1,20,3,0,130,1,Cambodia,Bali,23 Dec 2025
7396,Azmatullah Omarzai,AFG,26,1,13,1,2,200,1,West Indies,Dubai (DICS),21 Jan 2026
7397,BF Calitz,IRE,26,1,12,2,1,216.66,1,U.A.E.,Dubai (DICS),29 Jan 2026
7398,Muhammad Arfan,UAE,26,1,18,2,1,144.44,2,Ireland,Dubai (DICS),31 Jan 2026
7399,Sompal Kami,NEP,26,1,15,4,0,173.33,1,West Indies,Wankhede,15 Feb 2026
7400,Ahmer Bin,BHR,26,1,27,4,0,96.29,2,Bhutan,Bangkok,25 Feb 2026
7401,C Madande,ZIM,26,1,20,3,0,130,1,South Africa,Delhi,1 Mar 2026
7402,BA King,WI,26,0,27,4,0,96.29,2,England,Bridgetown,29 Jan 2022
7403,AC Agar,AUS,26,0,31,2,0,83.87,2,Sri Lanka,Melbourne,18 Feb 2022
7404,R Pathan,CAN,26,0,14,4,0,185.71,1,Oman,Al Amerat,19 Feb 2022
7405,Chirag Suri,UAE,26,0,24,3,1,108.33,2,Bahrain,Al Amerat,21 Feb 2022
7406,MP Biddappa,PHI,26,0,33,3,0,78.78,2,Bahrain,Al Amerat,22 Feb 2022
7407,TM Head,AUS,26,0,14,3,1,185.71,2,Pakistan,Lahore,5 Apr 2022
7408,K Nestor,GIBR,26,0,20,3,2,130,2,Czech Rep.,Marsa,11 May 2022
7409,Dylan Steyn,CZK-R,26,0,22,3,0,118.18,2,Malta,Marsa,12 May 2022
7410,Zahir Mohammed,HUN,26,0,15,0,3,173.33,2,Czech Rep.,Marsa,15 May 2022
7411,MD Gunathilaka,SL,26,0,15,3,1,173.33,1,Australia,Colombo (RPS),7 Jun 2022
7412,Aqib Iqbal,AUT,26,0,21,3,0,123.8,1,Sweden,Krefeld,11 Jun 2022
7413,KIC Asalanka,SL,26,0,19,3,1,136.84,2,Australia,Pallekele,11 Jun 2022
7414,Ishan Kishan,IND,26,0,11,3,2,236.36,2,Ireland,Dublin (Malahide),26 Jun 2022
7415,L Bruce,GIBR,26,0,23,2,2,113.04,2,Denmark,Waterloo,29 Jun 2022
7416,KJ Stagno,GIBR,26,0,24,1,2,108.33,2,Denmark,Waterloo,29 Jun 2022
7417,Manpreet Singh,SGP,26,0,24,1,1,108.33,2,Malaysia,Singapore,29 Jun 2022
7418,Sheraz Sheikh,BEL,26,0,46,2,1,56.52,2,Hungary,Waterloo,29 Jun 2022
7419,Muhammad Muneeb,BEL,26,0,22,3,1,118.18,1,Denmark,Waterloo,1 Jul 2022
7420,E Solomon,ISR,26,0,33,1,0,78.78,2,Malta,Gent,1 Jul 2022
7421,D Doyle-Calle,ESP,26,0,13,6,0,200,1,Belgium,Waterloo,4 Jul 2022
7422,Ahmed Hassan,MDV,26,0,20,2,0,130,2,Bhutan,Bangi,7 Jul 2022
7423,M Simpson-Parker,AUT,26,0,33,3,0,78.78,2,Luxembourg,Vinor,8 Jul 2022
7424,A Dizija,SRB,26,0,22,3,1,118.18,2,Bulgaria,Belgrade,8 Jul 2022
7425,RR Pant,IND,26,0,15,4,1,173.33,1,England,Birmingham,9 Jul 2022
7426,Aman Desai,SGP,26,0,22,1,1,118.18,1,Hong Kong,Bulawayo,15 Jul 2022
7427,J Miyagi,UGA,26,0,20,0,3,130,1,Jersey,Bulawayo,15 Jul 2022
7428,SR Taylor,USA,26,0,23,5,0,113.04,1,Netherlands,Bulawayo,15 Jul 2022
7429,JD Newton,CRT,26,0,36,1,1,72.22,1,Greece,Vantaa,15 Jul 2022
7430,Taranjeet Singh,ROM,26,0,16,2,2,162.5,1,Serbia,Vantaa,16 Jul 2022
7431,Zeeshan Ali,HKG,26,0,39,2,0,66.66,2,Uganda,Bulawayo,17 Jul 2022
7432,A Randhawa,AUT,26,0,21,2,0,123.8,1,Slovenia,Kerava,25 Jul 2022
7433,Usman Arif,NOR,26,0,11,1,3,236.36,2,France,Kerava,27 Jul 2022
7434,J Bulele,MOZ,26,0,27,4,0,96.29,2,Eswatini,Malkerns,29 Jul 2022
7435,Anamul Haque,BAN,26,0,27,0,2,96.29,2,Zimbabwe,Harare,30 Jul 2022
7436,J Bulele,MOZ,26,0,25,4,0,104,1,Eswatini,Malkerns,30 Jul 2022
7437,TLW Cooper,NED,26,0,17,3,0,152.94,1,New Zealand,The Hague,5 Aug 2022
7438,Rahmanullah Gurbaz,AFG,26,0,22,5,0,118.18,1,Ireland,Belfast,9 Aug 2022
7439,Imran Anwar,BHR,26,0,10,2,2,260,1,Kuwait,Al Amerat,16 Aug 2022
