Player,Overs,Maidens,Runs,Wickets,Economy,Inns,Opposition,Ground,Start_Date
Hisham Shaikh,4.0,2,12,4,3,2,Maldives,Doha,28 Sep 2023
N Dutta,4.0,0,12,4,3,2,Cayman,Sandys Parish,1 Oct 2023
S Conteh,3.2,0,12,4,3.6,1,Nigeria,Lagos,12 Oct 2023
Ibrahim Hassan,3.2,0,12,4,3.6,2,Bhutan,Bangkok,7 Feb 2024
Tian Sen Qun,4.0,0,12,4,3,1,Japan,Mong Kok,16 Feb 2024
LH Ferguson,3.5,0,12,4,3.13,1,Australia,Auckland,23 Feb 2024
Shiraz Khan,4.0,1,12,4,3,1,Vanuatu,Kuala Lumpur,11 Mar 2024
K Bhurtel,4.0,0,12,4,3,2,P.N.G.,Mong Kok,12 Mar 2024
Gaurav Tiwari,4.0,0,12,4,3,2,Thailand,Bali,4 May 2024
MRJ Watt,3.5,0,12,4,3.13,2,Netherlands,The Hague,22 May 2024
A Zampa,4.0,0,12,4,3,1,Namibia,North Sound,11 Jun 2024
Kamran Ahmadzai,3.0,0,12,4,4,2,Turkey,Spinaceto,15 Jun 2024
B Ward,4.0,0,12,4,3,2,Belgium,Krefeld,10 Jul 2024
D Jakiel,3.5,0,12,4,3.13,2,Lesotho,Dar-es-Salaam,21 Sep 2024
D Parashar,4.0,0,12,4,3,2,Bhutan,Doha,19 Nov 2024
Ishtiaq Ahmad,4.0,0,12,4,3,1,Qatar,ICCA Dubai,15 Dec 2024
Amjad Sher,4.0,1,12,4,3,2,Norway,Ishoj,14 Jun 2025
Rizwan Butt,3.4,0,12,4,3.27,1,Rwanda,Rwanda,18 Jul 2025
IS Sodhi,4.0,0,12,4,3,2,Zimbabwe,Harare,24 Jul 2025
Shariq Munir,4.0,0,12,4,3,1,Bahrain,Doha,10 Feb 2026
NT Ellis,3.5,1,12,4,3.13,2,Ireland,Colombo (RPS),11 Feb 2026
B Kumar,4.0,0,13,4,3.25,2,South Africa,Cuttack,12 Jun 2022
Ngawang Thinley,2.0,0,13,4,6.5,1,Thailand,Bangi,6 Jul 2022
ZE Matsinhe,3.0,0,13,4,4.33,1,Eswatini,Malkerns,29 Jul 2022
TA Boult,4.0,0,13,4,3.25,2,Sri Lanka,Sydney,29 Oct 2022
AN Toube,3.0,0,13,4,4.33,1,Eswatini,Kigali,8 Dec 2022
AM Kimote,3.0,0,13,4,4.33,2,Rwanda,Rwanda,22 Dec 2022
MV Pavlovic,3.2,0,13,4,3.9,2,Turkey,Sofia,23 Jun 2023
MR Adair,3.4,0,13,4,3.54,2,Austria,Edinburgh,23 Jul 2023
Mohameed Taiwo,4.0,1,13,4,3.25,1,Sierra Leone,Lagos,8 Oct 2023
Dhananjay Rao,4.0,1,13,4,3.25,1,Qatar,Doha,1 Mar 2024
C Kyewuta,4.0,0,13,4,3.25,2,Kenya,Accra,23 Mar 2024
Ravi Bishnoi,4.0,2,13,4,3.25,1,Zimbabwe,Harare,6 Jul 2024
Atif Rasheed,4.0,1,13,4,3.25,2,Bulgaria,Port Soif,27 Aug 2024
R Abdulkareem,4.0,1,13,4,3.25,2,St Helena,Abuja,23 Nov 2024
Mahedi Hasan,4.0,0,13,4,3.25,2,West Indies,Kingstown,15 Dec 2024
K Juma,4.0,0,13,4,3.25,2,Uganda,Harare,28 Sep 2025
