Player,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
N Pooran,98,0,53,6,8,184.9,1,Afghanistan,Gros Islet,2024-06-17
V Aravind,97,1,67,13,1,144.77,1,Ireland,Al Amerat,2022-02-18
TL Seifert,97,1,38,6,10,255.26,2,Pakistan,Wellington,2025-03-26
BJ Bennett,97,1,59,8,6,164.4,2,India,Chennai,2026-02-26
SV Samson,97,1,50,12,4,194.0,2,West Indies,Eden Gardens,2026-03-01
KS Leverock,97,0,56,12,4,173.21,1,Argentina,Buenos Aires,2023-02-22
Karanbir Singh,97,0,57,9,7,170.17,1,Romania,Rome,2024-06-09
Anshuman Rath,97,0,66,6,4,146.96,1,Malaysia,Kuala Lumpur,2025-03-12
Anshuman Rath,97,0,60,10,3,161.66,1,Qatar,Mong Kok,2025-04-13
RR Rossouw,96,1,55,10,5,174.54,1,England,Cardiff,2022-07-28
SKA Awiah,96,1,69,9,3,139.13,1,Cameroon,Kigali,2022-12-06
CO Obuya,96,1,60,8,6,160.0,1,Uganda,Nairobi (Gym),2023-06-10
Sami Sohail,96,1,71,6,5,135.21,2,Rwanda,Rwanda,2025-07-26
HT Tector,96,1,56,13,0,171.42,1,Italy,Dubai,2026-01-25
Zubaidi Zulkifle,96,0,43,6,8,223.25,1,Bhutan,Bangi,2022-07-02
Virandeep Singh,96,0,54,8,5,177.77,2,Bahrain,Bangi,2022-12-19
B McMullen,96,0,50,9,6,192.0,1,Italy,Edinburgh,2023-07-24
D Myers,96,0,45,11,6,213.33,1,Rwanda,Nairobi (Ruaraka),2024-10-22
Fiaz Ahmed,96,0,45,5,9,213.33,1,Indonesia,Bali,2025-02-23
JC Buttler,96,0,59,6,4,162.71,1,West Indies,Chester-le-Street,2025-06-06
Razmal Shigiwal,95,1,47,5,7,202.12,1,Hungary,Lower Austria,2022-06-05
Ibrahim Zadran,95,1,56,7,5,169.64,1,Canada,Chennai,2026-02-19
AV Lazarus,95,0,66,3,8,143.93,1,Indonesia,Bali,2024-05-01
Sami Sohail,94,1,60,13,0,156.66,1,Lesotho,Kigali,2022-11-25
LJ Tucker,94,1,51,8,4,184.31,1,Austria,Edinburgh,2023-07-23
Aaron Jones,94,1,40,4,10,235.0,2,Canada,Dallas,2024-06-01
LJ Tucker,94,1,51,10,4,184.31,1,Oman,Colombo (SSC),2026-02-14
MS Chapman,94,0,44,11,4,213.63,1,Pakistan,Auckland,2025-03-21
J Baker,94,0,60,9,5,156.66,1,Bahamas,King City (NW),2025-06-22
BJ Bennett,94,0,51,8,4,184.31,1,Namibia,Bulawayo,2025-09-15
TP Ura,93,1,40,4,9,232.5,2,Singapore,Singapore,2022-07-03
Basil George,93,1,44,5,7,211.36,2,Gibraltar,Waterloo,2022-07-03
A Vala,93,1,47,7,6,197.87,2,Uganda,Bulawayo,2022-07-12
YBK Jaiswal,93,1,53,13,2,175.47,2,Zimbabwe,Harare,2024-07-13
Virandeep Singh,93,1,57,8,4,163.15,2,Saudi Arabia,Kuala Lumpur,2025-04-26
KC D'Souza,92,1,34,5,10,270.58,2,Serbia,Sofia,2022-06-24
MTMMJ Ave,92,1,61,11,2,150.81,2,Fiji,Port vila,2022-09-14
DP Conway,92,1,58,7,2,158.62,1,Australia,Sydney,2022-10-22
MR Marsh,92,1,49,13,2,187.75,1,South Africa,Durban,2023-08-30
AE Paraam,92,1,58,7,6,158.62,1,Japan,Bangkok,2024-02-06
K Bhurtel,92,1,54,7,6,170.37,1,U.S.A.,Dallas,2024-10-19
MP O'Dowd,92,1,57,11,1,161.4,1,Guernsey,The Hague,2025-07-09
A Dizija,92,0,56,15,2,164.28,1,Bulgaria,Sofia,2022-06-25
Kushal Malla,92,0,41,3,9,224.39,1,Hong Kong,Mulpani,2023-10-21
RG Sharma,92,0,41,7,8,224.39,1,Australia,Gros Islet,2024-06-24
Rahmanullah Gurbaz,92,0,48,8,5,191.66,1,Zimbabwe,Harare,2025-11-02
BFW de Leede,91,1,67,9,3,135.82,2,U.S.A.,Bulawayo,2022-07-15
V Saini,91,1,45,7,6,202.22,2,Luxembourg,Marsa,2023-07-16
CJA Amini,91,1,53,8,4,171.69,1,Malaysia,Kuala Lumpur,2024-03-16
Hamza Dar,91,1,29,1,12,313.79,1,Croatia,Cartagena,2025-12-07
ND Laegsgaard,91,0,42,5,9,216.66,1,Gibraltar,Waterloo,2022-06-29
Muhammad Waseem,91,0,50,8,7,182.0,2,Afghanistan,Abu Dhabi,2023-02-18
DMW Rawlins,91,0,33,6,9,275.75,1,Argentina,Buenos Aires,2023-02-22
A Dizija,91,0,47,5,6,193.61,1,Turkey,Sofia,2023-06-23
TM Head,91,0,48,8,6,189.58,2,South Africa,Durban,2023-09-03
HAM Shah,91,0,55,8,4,165.45,1,Cyprus,Castel,2024-08-27
BJ Bennett,91,0,35,8,7,260.0,1,Seychelles,Nairobi (Gym),2024-10-19
E Lewis,91,0,44,7,8,206.81,1,Ireland,Bready,2025-06-15
Karanbir Singh,91,0,44,6,9,206.81,1,Belgium,Latschach,2025-08-23
Shaheryar Butt,91,0,53,9,5,171.69,2,Austria,Latschach,2025-08-23
Mohammad Rizwan,90,1,63,6,2,142.85,1,New Zealand,Christchurch,2024-01-19
A Sharafu,90,1,48,8,5,187.5,2,Kuwait,Al Amerat,2024-04-12
Md Ariyan,90,1,51,6,7,176.47,2,Austria,Ilfov County,2025-10-18
JM Bairstow,90,0,53,3,8,169.81,1,South Africa,Bristol,2022-07-27
Aqib Ilyas,90,0,52,10,4,173.07,2,U.A.E.,Doha,2023-09-16
S Ssesazi,90,0,50,9,4,180.0,1,Ghana,Accra,2024-03-18
P Nissanka,90,0,60,7,3,150.0,2,New Zealand,Mount Maunganui,2024-12-28
M Levitt,90,0,57,6,5,157.89,1,Scotland,Glasgow,2025-06-18
Habib Khan,90,0,43,5,8,209.3,2,Switzerland,Tallinn,2025-08-03
Karanbir Singh,90,0,35,1,13,257.14,2,Belgium,Latschach,2025-08-23
Karanbir Singh,90,0,46,3,11,195.65,1,Romania,Ilfov County,2025-10-18
Q de Kock,90,0,46,5,7,195.65,1,India,New Chandigarh,2025-12-11
L Canessane,89,1,52,8,5,171.15,1,Romania,Marsa,2023-07-13
Muhammad Waseem,89,1,50,6,6,178.0,1,Namibia,Windhoek,2024-09-29
O Manishimwe,89,1,52,7,5,171.15,2,Botswana,Rwanda,2024-12-06
TL Seifert,89,1,42,12,3,211.9,2,U.A.E.,Chennai,2026-02-10
Ishan Kishan,89,0,56,10,3,158.92,1,Sri Lanka,Lucknow,2022-02-24
LA Dunbar,89,0,45,7,8,197.77,1,Bulgaria,Sofia,2022-06-25
A Johnson,89,0,41,11,5,217.07,2,Oman,Al Amerat,2022-11-20
RG Mukasa,89,0,62,13,2,143.54,1,Tanzania,Rwanda,2022-12-15
IDM Latin,89,0,47,7,6,189.36,1,Malta,Gibraltar,2023-05-05
RG Mukasa,89,0,51,12,3,174.5,1,Rwanda,Rwanda,2023-08-24
Meet Bhavsar,89,0,55,7,4,161.81,1,Saudi Arabia,Doha,2023-10-01
N Davin,89,0,45,10,4,197.77,2,Zimbabwe,Windhoek,2023-11-22
Ali Nadeem,89,0,58,5,4,153.44,1,Cayman,George Town,2025-04-23
Pargat Singh,89,0,44,6,6,202.27,1,Cayman,King City (NE),2025-06-13
PD Salt,89,0,46,10,4,193.47,2,Ireland,Dublin (Malahide),2025-09-17
Tanzid Hasan,89,0,62,9,4,143.54,1,West Indies,Chattogram,2025-10-31
SV Samson,89,0,42,8,7,211.9,1,England,Wankhede,2026-03-05
Mohammad Rizwan,88,1,51,5,4,172.54,2,England,Karachi,2022-09-22
PD Salt,88,1,41,13,3,214.63,2,Pakistan,Lahore,2022-09-30
Muhammad Tanveer,88,1,46,2,10,191.3,2,Bahrain,Bangi,2022-12-18
Adil Butt,88,1,60,8,6,146.66,1,Nigeria,Abuja,2024-11-26
